period,city,買賣_棟數,買賣_坪數,拍賣_棟數,拍賣_坪數,繼承_棟數,繼承_坪數,贈與_棟數,贈與_坪數
098Q1,區域別總計,68557,2148631.99,4476,188545.62,8407,295316.92,8989,306699.54
098Q1,南投縣,503,26453.51,80,3132.28,172,9538.55,122,6181.52
098Q1,嘉義市,692,25282.31,83,2725.49,149,5708.8,109,3594.04
098Q1,嘉義縣,494,21618.75,79,4136.92,138,5326.45,99,4822.29
098Q1,基隆市,1240,35174.5,119,2720.64,178,4288.89,144,3591.55
098Q1,宜蘭縣,1248,38563.43,96,3030.44,186,6799.69,138,4929.549999999999
098Q1,屏東縣,956,39143.94,160,9354.93,290,14814.89,174,8054.58
098Q1,彰化縣,1370,66042.65,139,6498.97,280,13224.44,268,16201.0
098Q1,新北市,18108,458061.18,558,17505.56,1521,44629.99,1952,50882.21
098Q1,新竹市,2990,76777.55,50,1190.3,140,5655.92,177,6921.6
098Q1,新竹縣,1826,56032.65,54,1909.99,119,5604.87,191,7866.75
098Q1,桃園市,6794,229788.85,512,30669.83,630,21547.03,759,27435.43
098Q1,澎湖縣,100,4662.65,3,87.3,60,1328.76,34,1056.69
098Q1,臺中市,7953,271763.55,625,24544.57,900,34576.49,1041,41426.02
098Q1,臺北市,11241,254067.65,219,16967.53,1411,37462.51,1952,49394.020000000004
098Q1,臺南市,4190,175248.78,572,21244.72,618,22797.75,524,22140.59
098Q1,臺東縣,306,18523.97,36,2023.45,71,2959.03,52,2277.63
098Q1,花蓮縣,765,28490.87,114,4234.42,132,4366.13,137,4783.8
098Q1,苗栗縣,812,39895.09,114,3287.73,200,10295.8,143,6635.360000000001
098Q1,連江縣,0,0.0,0,0.0,0,0.0,0,0.0
098Q1,金門縣,61,2264.78,2,31.77,8,378.52,21,1563.09
098Q1,雲林縣,728,44001.82,69,4170.8,146,6714.93,117,5506.21
098Q1,高雄市,6180,236773.5,792,29077.98,1058,37297.48,835,31435.61
098Q2,區域別總計,100789,3177759.87,8474,294837.18,9633,339268.23,8024,264831.43
098Q2,南投縣,661,34007.47,89,6863.55,193,8100.21,143,7477.120000000001
098Q2,嘉義市,896,35227.06,127,4619.63,168,6221.14,94,3115.52
098Q2,嘉義縣,728,33657.95,136,7659.03,135,5557.21,101,4050.0
098Q2,基隆市,1652,41633.8,291,5061.09,198,4998.56,182,4203.15
098Q2,宜蘭縣,1598,52285.29,243,7803.88,211,7638.86,174,6754.13
098Q2,屏東縣,1153,49762.68,1169,43669.0,283,11237.38,185,7783.120000000001
098Q2,彰化縣,2061,89407.09,246,11653.3,343,17504.89,266,11434.29
098Q2,新北市,26240,698395.25,1123,28556.21,1711,47151.07,1606,41538.67999999999
098Q2,新竹市,2994,79934.98,83,11924.15,154,5544.05,179,5815.12
098Q2,新竹縣,2959,87102.18,115,3119.71,125,6268.11,158,7666.25
098Q2,桃園市,11176,359312.69,822,22681.75,768,28635.87,816,26847.84
098Q2,澎湖縣,117,4929.54,5,151.6,69,1165.62,49,1367.3200000000002
098Q2,臺中市,12405,426449.45,1110,33512.53,1005,40568.75,950,35065.55
098Q2,臺北市,16685,415850.39,410,11703.58,1710,41255.14,1440,34434.0
098Q2,臺南市,5904,238005.72,673,28358.95,724,31973.78,453,18392.58
098Q2,臺東縣,553,17115.82,52,2248.04,74,2796.99,65,2611.14
098Q2,花蓮縣,1051,38950.58,138,5257.64,152,5506.83,121,4654.79
098Q2,苗栗縣,1221,57087.1,236,7109.62,216,10951.63,170,7442.07
098Q2,連江縣,0,0.0,0,0.0,0,0.0,0,0.0
098Q2,金門縣,55,2214.09,0,0.0,23,1104.5,17,781.61
098Q2,雲林縣,916,42162.52,111,5535.28,218,11736.01,126,7461.1
098Q2,高雄市,9764,374268.23,1295,47348.65,1153,43351.61,729,25936.07
098Q3,區域別總計,111946,3478976.08,8239,357507.28,9271,338919.57,7740,263361.77999999997
098Q3,南投縣,756,33839.73,134,6713.56,166,8905.76,129,6985.25
098Q3,嘉義市,879,48317.59,121,3698.18,129,5578.18,95,3695.08
098Q3,嘉義縣,662,27258.46,120,7097.38,131,5187.77,77,3051.61
098Q3,基隆市,2151,56936.63,204,4212.01,199,5202.8,170,3845.36
098Q3,宜蘭縣,1413,57358.75,216,6810.29,195,7682.26,182,6896.4400000000005
098Q3,屏東縣,1226,53244.69,226,9347.33,267,12032.93,199,8143.46
098Q3,彰化縣,1926,88648.7,273,22602.68,312,14331.68,227,10638.92
098Q3,新北市,33077,844539.69,1033,36438.99,1681,45503.48,1695,45132.67
098Q3,新竹市,3760,100185.34,73,1829.64,158,5373.57,168,8223.92
098Q3,新竹縣,2871,86885.3,159,10762.16,125,5336.57,151,6182.98
098Q3,桃園市,12042,415706.9,1289,44146.44,682,27981.99,677,23997.519999999997
098Q3,澎湖縣,87,3592.89,5,236.46,74,1725.97,31,890.55
098Q3,臺中市,13298,456049.05,945,33974.36,989,38859.39,872,32903.71
098Q3,臺北市,18305,442274.24,384,11721.46,1603,47084.16,1451,36629.25
098Q3,臺南市,5678,221465.11,674,32788.82,657,27778.78,379,16012.71
098Q3,臺東縣,361,13360.93,74,2389.37,84,3784.83,73,2881.2200000000003
098Q3,花蓮縣,1068,39316.67,123,4036.01,163,8084.99,126,5098.29
098Q3,苗栗縣,1225,64937.16,457,36791.26,194,9511.31,141,7788.280000000001
098Q3,連江縣,0,0.0,0,0.0,0,0.0,0,0.0
098Q3,金門縣,49,1976.19,2,80.09,18,1506.82,14,793.33
098Q3,雲林縣,1056,50913.75,156,6933.15,219,11487.2,96,4425.9
098Q3,高雄市,10056,372168.31,1571,74897.64,1225,45979.15,787,29145.300000000003
098Q4,區域別總計,107006,3440726.04,7524,341614.46,9268,331337.6,8503,290520.88
098Q4,南投縣,671,34152.64,216,8132.94,166,6408.12,121,5745.35
098Q4,嘉義市,1075,50647.49,101,2845.8,116,5748.31,98,3072.19
098Q4,嘉義縣,599,40147.52,149,10754.58,115,4308.29,97,4275.95
098Q4,基隆市,1703,43527.31,237,11185.49,227,6222.4,161,3761.07
098Q4,宜蘭縣,1444,47784.36,146,4301.54,194,7269.53,174,8595.4
098Q4,屏東縣,1221,58180.04,287,13643.85,257,12422.02,167,6835.46
098Q4,彰化縣,1631,69791.17,263,17650.2,322,15336.77,220,9879.83
098Q4,新北市,29231,806342.35,808,30243.75,1643,44697.92,1743,47749.86
098Q4,新竹市,3613,81827.97,89,2409.07,162,5787.72,165,5338.57
098Q4,新竹縣,2299,93867.02,85,4608.98,122,6479.27,160,6777.41
098Q4,桃園市,12522,389175.26,1263,69917.59,780,27909.94,758,30457.71
098Q4,澎湖縣,101,4031.47,9,311.28,85,2951.48,38,1352.04
098Q4,臺中市,13977,499917.13,855,35867.16,1039,43186.96,1025,38569.42
098Q4,臺北市,17380,453336.65,290,8173.98,1580,42053.3,1836,44227.44
098Q4,臺南市,5592,221469.69,688,32316.97,701,26609.01,441,17569.91
098Q4,臺東縣,333,14749.35,57,1926.26,72,2482.1,69,3872.2000000000003
098Q4,花蓮縣,1084,44409.34,102,3374.33,161,7952.54,125,4918.27
098Q4,苗栗縣,1662,66362.01,104,4230.77,189,10330.8,149,6799.219999999999
098Q4,連江縣,0,0.0,0,0.0,0,0.0,0,0.0
098Q4,金門縣,84,5649.63,3,598.62,10,448.73,16,869.11
098Q4,雲林縣,937,51811.76,206,11631.06,178,10109.67,123,6852.49
098Q4,高雄市,9847,363545.89,1566,67490.23,1149,42622.73,817,33001.99
099Q1,區域別總計,95340,3200050.47,6061,268526.25,8678,322603.28,10187,362879.29000000004
099Q1,南投縣,563,26513.06,125,8287.19,114,7137.84,124,6600.450000000001
099Q1,嘉義市,773,27441.1,79,2446.69,122,5438.46,102,3875.6499999999996
099Q1,嘉義縣,762,32890.56,91,8268.43,116,4978.59,113,6846.07
099Q1,基隆市,1691,44562.13,169,3583.33,184,4933.0,133,3377.1000000000004
099Q1,宜蘭縣,1389,48007.4,111,4177.47,156,6735.32,164,7242.5599999999995
099Q1,屏東縣,1111,56157.82,241,9528.39,325,14008.07,184,7937.51
099Q1,彰化縣,1536,76130.01,210,18653.3,293,13488.59,251,12333.71
099Q1,新北市,25635,707247.39,651,25405.9,1568,57156.8,2116,60476.0
099Q1,新竹市,3258,78753.9,50,7851.68,163,6026.44,240,8733.06
099Q1,新竹縣,2142,79677.59,59,2334.15,135,5399.75,209,9540.04
099Q1,桃園市,10631,372807.41,1107,42643.0,650,22476.85,811,31422.32
099Q1,澎湖縣,98,3957.2,4,138.88,75,1624.49,34,1370.43
099Q1,臺中市,12567,552069.45,756,35937.76,975,38540.84,1100,44304.21
099Q1,臺北市,16299,438187.17,241,7179.47,1514,43162.06,2814,71881.57
099Q1,臺南市,4981,194299.71,566,26824.59,726,27643.48,464,28715.940000000002
099Q1,臺東縣,358,15785.47,40,1232.64,55,1937.58,51,1883.8899999999999
099Q1,花蓮縣,907,35413.32,111,5417.85,136,7300.96,110,4875.34
099Q1,苗栗縣,1090,47509.3,99,7201.53,202,8759.44,130,6473.54
099Q1,連江縣,0,0.0,0,0.0,0,0.0,0,0.0
099Q1,金門縣,72,3104.98,2,170.9,13,808.83,18,640.78
099Q1,雲林縣,775,39299.1,120,5543.08,160,7198.92,132,6371.55
099Q1,高雄市,8702,320236.39,1229,45700.01,996,37846.98,887,37977.57
099Q2,區域別總計,105120,3460979.21,6090,427604.14,10003,363831.76,8441,275696.89
099Q2,南投縣,696,39898.99,123,4751.29,155,7833.56,130,5757.33
099Q2,嘉義市,939,33821.22,75,2103.2,157,9516.84,70,3446.0299999999997
099Q2,嘉義縣,636,25668.67,81,5717.59,140,4994.39,85,4197.88
099Q2,基隆市,1840,46301.78,265,4780.29,210,5088.45,161,3842.1600000000003
099Q2,宜蘭縣,1606,53685.56,118,4463.43,224,8664.27,150,6417.179999999999
099Q2,屏東縣,1275,61888.1,234,10224.45,323,13011.92,194,7728.75
099Q2,彰化縣,1992,92076.33,214,16426.84,339,15177.1,237,11732.24
099Q2,新北市,28540,805510.03,601,22954.31,1886,53220.43,1933,48916.39
099Q2,新竹市,2883,102820.03,133,77517.12,154,7150.15,181,5130.34
099Q2,新竹縣,2647,97383.43,88,22663.77,130,5405.42,175,7103.98
099Q2,桃園市,11639,372746.04,1091,122196.03,813,29717.58,736,23847.39
099Q2,澎湖縣,98,3894.66,3,107.84,96,2030.95,34,1119.71
099Q2,臺中市,13305,463551.9,548,21112.31,1057,48335.46,988,38734.63
099Q2,臺北市,17114,447327.37,355,15256.65,1683,46663.36,1640,38783.81
099Q2,臺南市,5806,225889.0,636,28514.16,740,30382.23,437,17997.05
099Q2,臺東縣,382,15743.97,29,5381.9,89,3464.99,80,3024.59
099Q2,花蓮縣,1095,40595.97,129,4290.42,139,5760.09,130,5400.99
099Q2,苗栗縣,1215,51708.39,117,5865.7,211,8555.2,129,5875.19
099Q2,連江縣,0,0.0,0,0.0,0,0.0,0,0.0
099Q2,金門縣,86,5033.34,0,0.0,13,621.92,14,635.16
099Q2,雲林縣,899,45915.99,136,15244.67,212,10479.95,98,5493.76
099Q2,高雄市,10427,429518.46,1114,38032.16,1232,47757.51,839,30512.33
099Q3,區域別總計,94428,3284562.68,4888,282484.68,10051,369188.2,7990,301969.25
099Q3,南投縣,621,35596.56,97,3829.55,178,8937.44,126,6448.259999999999
099Q3,嘉義市,911,33371.82,64,2212.52,141,5361.68,99,3620.55
099Q3,嘉義縣,582,27646.15,61,7532.54,145,5726.16,151,13339.75
099Q3,基隆市,1830,46327.4,148,3300.48,267,7099.39,181,3868.04
099Q3,宜蘭縣,1522,57949.78,109,4928.14,222,8812.46,155,7052.73
099Q3,屏東縣,1177,47582.67,178,6587.47,270,11670.83,180,7352.77
099Q3,彰化縣,1725,89004.02,179,10123.47,361,17748.26,237,11460.93
099Q3,新北市,24531,725430.16,442,20949.41,1790,54121.62,1851,47465.67
099Q3,新竹市,2476,86189.86,63,1537.37,180,8960.35,213,6925.469999999999
099Q3,新竹縣,2117,77676.7,76,2384.1,129,6061.93,157,7046.92
099Q3,桃園市,12065,402465.26,872,91721.7,751,29307.69,724,24496.64
099Q3,澎湖縣,109,4261.53,2,237.08,96,2564.32,30,1147.19
099Q3,臺中市,12928,575110.67,546,14696.15,1054,42738.74,921,59565.770000000004
099Q3,臺北市,13436,337668.13,241,16133.78,1792,50616.44,1356,36447.0
099Q3,臺南市,5210,219527.57,441,24639.3,811,31465.86,402,16603.33
099Q3,臺東縣,339,13206.56,69,1587.95,60,2256.75,52,1951.6
099Q3,花蓮縣,1105,40842.3,146,3724.98,170,9417.2,125,6053.58
099Q3,苗栗縣,1023,48217.55,96,25844.06,239,12207.05,135,7109.01
099Q3,連江縣,0,0.0,0,0.0,0,0.0,0,0.0
099Q3,金門縣,98,3702.38,1,22.79,17,971.79,8,527.9100000000001
099Q3,雲林縣,829,39250.91,124,8109.81,192,10304.22,114,5678.88
099Q3,高雄市,9794,373534.69,933,32382.01,1186,42838.0,773,27807.270000000004
099Q4,區域別總計,111801,3741968.16,5139,224302.13,10274,389428.22,8943,305295.67000000004
099Q4,南投縣,775,40497.95,119,8251.76,173,8074.8,172,7729.75
099Q4,嘉義市,981,35706.01,122,5582.05,139,4362.38,113,4325.07
099Q4,嘉義縣,634,30951.55,69,4314.74,140,5559.08,91,4408.36
099Q4,基隆市,2324,62348.33,277,3171.48,196,5152.46,153,3991.56
099Q4,宜蘭縣,1635,63032.95,118,4651.43,191,8388.94,178,6919.29
099Q4,屏東縣,1610,68021.36,161,8502.81,312,13056.08,208,9288.86
099Q4,彰化縣,2235,106171.41,202,19554.3,310,14074.39,266,12717.92
099Q4,新北市,29536,946418.49,496,15877.22,1815,55239.85,2042,51422.79
099Q4,新竹市,3017,117920.56,37,1131.22,204,9045.32,192,7479.34
099Q4,新竹縣,2511,86963.08,78,13318.24,129,4844.09,161,5840.86
099Q4,桃園市,13636,462787.0,880,27580.4,928,40878.69,790,27847.39
099Q4,澎湖縣,150,8725.71,4,123.37,97,2015.89,37,1269.9699999999998
099Q4,臺中市,15339,531025.14,509,16647.43,1086,49400.25,1001,38082.96
099Q4,臺北市,16495,398172.17,205,8167.64,1837,55097.3,1820,51536.36
099Q4,臺南市,5732,213914.86,481,18100.89,815,34324.34,463,17542.52
099Q4,臺東縣,397,16442.15,35,1271.38,111,4472.9,66,3420.4199999999996
099Q4,花蓮縣,1298,43879.44,113,4535.65,153,7287.78,122,4433.87
099Q4,苗栗縣,1311,60480.56,136,12702.14,184,12669.22,123,5904.99
099Q4,連江縣,0,0.0,0,0.0,0,0.0,0,0.0
099Q4,金門縣,89,3358.07,0,0.0,10,512.1,17,1062.01
099Q4,雲林縣,1146,53171.02,125,9571.85,180,9052.38,124,6089.15
099Q4,高雄市,10950,391980.34,972,41246.13,1264,45919.98,804,33982.25
100Q1,區域別總計,104529,3522302.79,4628,231155.29,9436,346225.18,11162,389519.29
100Q1,南投縣,691,34101.5,102,5565.98,158,6824.09,122,6507.1900000000005
100Q1,嘉義市,982,36306.1,62,3511.06,131,4599.59,108,5192.43
