資料期別,縣市,建物買賣移轉登記棟數
100Q1,全國,104529.0
100Q1,台中市,14839.0
100Q1,台北市,16147.0
100Q1,台東縣,461.0
100Q1,台南市,5447.0
100Q1,宜蘭縣,1414.0
100Q1,花蓮縣,1171.0
100Q1,金門縣,88.0
100Q1,南投縣,691.0
100Q1,屏東縣,1447.0
100Q1,苗栗縣,1135.0
100Q1,桃園市,12328.0
100Q1,高雄市,10598.0
100Q1,基隆市,1876.0
100Q1,連江縣,
100Q1,雲林縣,989.0
100Q1,台北縣,26228.0
100Q1,新竹市,3138.0
100Q1,新竹縣,2923.0
100Q1,嘉義市,982.0
100Q1,嘉義縣,667.0
100Q1,彰化縣,1829.0
100Q1,澎湖縣,131.0
100Q2,全國,96013.0
100Q2,台中市,13715.0
100Q2,台北市,13053.0
100Q2,台東縣,415.0
100Q2,台南市,5949.0
100Q2,宜蘭縣,1482.0
100Q2,花蓮縣,1141.0
100Q2,金門縣,99.0
100Q2,南投縣,827.0
100Q2,屏東縣,1442.0
100Q2,苗栗縣,1248.0
100Q2,桃園市,12089.0
100Q2,高雄市,9933.0
100Q2,基隆市,1707.0
100Q2,連江縣,0.0
100Q2,雲林縣,960.0
100Q2,台北縣,21870.0
100Q2,新竹市,2978.0
100Q2,新竹縣,3174.0
100Q2,嘉義市,1039.0
100Q2,嘉義縣,638.0
100Q2,彰化縣,2027.0
100Q2,澎湖縣,130.0
100Q3,全國,82664.0
100Q3,台中市,11399.0
100Q3,台北市,10613.0
100Q3,台東縣,381.0
100Q3,台南市,4878.0
100Q3,宜蘭縣,1572.0
100Q3,花蓮縣,855.0
100Q3,金門縣,86.0
100Q3,南投縣,599.0
100Q3,屏東縣,1061.0
100Q3,苗栗縣,1115.0
100Q3,桃園市,10707.0
100Q3,高雄市,8619.0
100Q3,基隆市,1701.0
100Q3,連江縣,0.0
100Q3,雲林縣,844.0
100Q3,台北縣,19146.0
100Q3,新竹市,2921.0
100Q3,新竹縣,2842.0
100Q3,嘉義市,844.0
100Q3,嘉義縣,596.0
100Q3,彰化縣,1799.0
100Q3,澎湖縣,86.0
100Q4,全國,78498.0
100Q4,台中市,9837.0
100Q4,台北市,10105.0
100Q4,台東縣,357.0
100Q4,台南市,5110.0
100Q4,宜蘭縣,1522.0
100Q4,花蓮縣,852.0
100Q4,金門縣,40.0
100Q4,南投縣,747.0
100Q4,屏東縣,1364.0
100Q4,苗栗縣,1478.0
100Q4,桃園市,10454.0
100Q4,高雄市,8319.0
100Q4,基隆市,1525.0
100Q4,連江縣,0.0
100Q4,雲林縣,994.0
100Q4,台北縣,16677.0
100Q4,新竹市,3161.0
100Q4,新竹縣,2790.0
100Q4,嘉義市,861.0
100Q4,嘉義縣,638.0
100Q4,彰化縣,1576.0
100Q4,澎湖縣,91.0
101Q1,全國,63907.0
101Q1,台中市,9140.0
101Q1,台北市,7715.0
101Q1,台東縣,324.0
101Q1,台南市,4523.0
101Q1,宜蘭縣,1272.0
101Q1,花蓮縣,797.0
101Q1,金門縣,45.0
101Q1,南投縣,629.0
101Q1,屏東縣,1135.0
101Q1,苗栗縣,781.0
101Q1,桃園市,8880.0
101Q1,高雄市,7499.0
101Q1,基隆市,1046.0
101Q1,連江縣,0.0
101Q1,雲林縣,785.0
101Q1,台北縣,12165.0
101Q1,新竹市,2163.0
101Q1,新竹縣,2304.0
101Q1,嘉義市,789.0
101Q1,嘉義縣,533.0
101Q1,彰化縣,1293.0
101Q1,澎湖縣,89.0
101Q2,全國,94148.0
101Q2,台中市,13057.0
101Q2,台北市,10834.0
101Q2,台東縣,487.0
101Q2,台南市,5546.0
101Q2,宜蘭縣,2151.0
101Q2,花蓮縣,1063.0
101Q2,金門縣,71.0
101Q2,南投縣,745.0
101Q2,屏東縣,1434.0
101Q2,苗栗縣,1371.0
101Q2,桃園市,12967.0
101Q2,高雄市,11911.0
101Q2,基隆市,1735.0
101Q2,連江縣,0.0
101Q2,雲林縣,1003.0
101Q2,台北縣,19679.0
101Q2,新竹市,3529.0
101Q2,新竹縣,2897.0
101Q2,嘉義市,960.0
101Q2,嘉義縣,735.0
101Q2,彰化縣,1872.0
101Q2,澎湖縣,101.0
101Q3,全國,83453.0
101Q3,台中市,11956.0
101Q3,台北市,10328.0
101Q3,台東縣,350.0
101Q3,台南市,5004.0
101Q3,宜蘭縣,1504.0
101Q3,花蓮縣,1003.0
101Q3,金門縣,61.0
101Q3,南投縣,654.0
101Q3,屏東縣,1237.0
101Q3,苗栗縣,1233.0
101Q3,桃園市,11787.0
101Q3,高雄市,9489.0
101Q3,基隆市,1608.0
101Q3,連江縣,1.0
101Q3,雲林縣,1004.0
101Q3,台北縣,17814.0
101Q3,新竹市,2285.0
101Q3,新竹縣,2886.0
101Q3,嘉義市,829.0
101Q3,嘉義縣,580.0
101Q3,彰化縣,1772.0
101Q3,澎湖縣,68.0
101Q4,全國,87366.0
101Q4,台中市,11753.0
101Q4,台北市,9694.0
101Q4,台東縣,440.0
101Q4,台南市,5851.0
101Q4,宜蘭縣,1614.0
101Q4,花蓮縣,1034.0
101Q4,金門縣,81.0
101Q4,南投縣,713.0
101Q4,屏東縣,1360.0
101Q4,苗栗縣,1144.0
101Q4,桃園市,11385.0
101Q4,高雄市,10726.0
101Q4,基隆市,1647.0
101Q4,連江縣,2.0
101Q4,雲林縣,931.0
101Q4,台北縣,19529.0
101Q4,新竹市,3213.0
101Q4,新竹縣,2793.0
101Q4,嘉義市,830.0
101Q4,嘉義縣,670.0
101Q4,彰化縣,1807.0
101Q4,澎湖縣,149.0
102Q1,全國,79392.0
102Q1,台中市,10811.0
102Q1,台北市,9201.0
102Q1,台東縣,370.0
102Q1,台南市,5376.0
102Q1,宜蘭縣,1404.0
102Q1,花蓮縣,954.0
102Q1,金門縣,102.0
102Q1,南投縣,862.0
102Q1,屏東縣,1243.0
102Q1,苗栗縣,1147.0
102Q1,桃園市,10712.0
102Q1,高雄市,9453.0
102Q1,基隆市,1452.0
102Q1,連江縣,0.0
102Q1,雲林縣,947.0
102Q1,台北縣,16391.0
102Q1,新竹市,2758.0
102Q1,新竹縣,2987.0
102Q1,嘉義市,883.0
102Q1,嘉義縣,612.0
102Q1,彰化縣,1620.0
102Q1,澎湖縣,107.0
102Q2,全國,100238.0
102Q2,台中市,13997.0
102Q2,台北市,10846.0
102Q2,台東縣,447.0
102Q2,台南市,6543.0
102Q2,宜蘭縣,1727.0
102Q2,花蓮縣,1408.0
102Q2,金門縣,106.0
102Q2,南投縣,904.0
102Q2,屏東縣,1544.0
102Q2,苗栗縣,1728.0
102Q2,桃園市,14594.0
102Q2,高雄市,12251.0
102Q2,基隆市,1955.0
102Q2,連江縣,0.0
102Q2,雲林縣,1083.0
102Q2,新北市,21725.0
102Q2,新竹市,2335.0
102Q2,新竹縣,3168.0
102Q2,嘉義市,999.0
102Q2,嘉義縣,926.0
102Q2,彰化縣,1847.0
102Q2,澎湖縣,105.0
102Q3,全國,96173.0
102Q3,台中市,14084.0
102Q3,台北市,9918.0
102Q3,台東縣,542.0
102Q3,台南市,5439.0
102Q3,宜蘭縣,1832.0
102Q3,花蓮縣,1364.0
102Q3,金門縣,46.0
102Q3,南投縣,790.0
102Q3,屏東縣,1426.0
102Q3,苗栗縣,1410.0
102Q3,桃園市,13215.0
102Q3,高雄市,11290.0
102Q3,基隆市,2779.0
102Q3,連江縣,0.0
102Q3,雲林縣,897.0
102Q3,新北市,21320.0
102Q3,新竹市,2956.0
102Q3,新竹縣,2998.0
102Q3,嘉義市,929.0
102Q3,嘉義縣,719.0
102Q3,彰化縣,2144.0
102Q3,澎湖縣,75.0
102Q4,全國,96089.0
102Q4,台中市,14803.0
102Q4,台北市,9531.0
102Q4,台東縣,422.0
102Q4,台南市,6020.0
102Q4,宜蘭縣,1878.0
102Q4,花蓮縣,1274.0
102Q4,金門縣,76.0
102Q4,南投縣,933.0
102Q4,屏東縣,1463.0
